"scenarioId","scenarioStatus","metric","actualTB","expectedTB","deltaTB","deltaPct","metricStatus"
"lb-perf-prune-ordering","PASS","Planned Capacity Tier","0.65","0.65","0","0","PASS"
"lb-perf-prune-ordering","PASS","Planned Archive Tier","0","0","0","0","PASS"
"lb-perf-prune-ordering","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-perf-prune-ordering","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-perf-prune-ordering","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"ti-das-3yr-gfs-wmy","PASS","Planned Capacity","3.24","3.24","0","0","PASS"
"ti-das-3yr-gfs-wmy","PASS","File Type Size - Full","0.58","0.58","0","0","PASS"
"ti-das-3yr-gfs-wmy","PASS","File Type Size - Incremental","0.03","0.03","0","0.14","PASS"
"ti-das-3yr-gfs-wmy","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.14","PASS"
"ti-sobr-move-3yr","PASS","Planned Performance Tier","1.21","1.21","0","0","PASS"
"ti-sobr-move-3yr","PASS","Planned Capacity Tier","1.63","1.63","0","0","PASS"
"ti-sobr-move-3yr","PASS","Planned Archive Tier","0.8","0.8","0","0","PASS"
"ti-sobr-move-3yr","PASS","File Type Size - Full","0.58","0.58","0","0","PASS"
"ti-sobr-move-3yr","PASS","File Type Size - Incremental","0.03","0.03","0","0.14","PASS"
"ti-sobr-move-3yr","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.14","PASS"
"ti-sobr-copy-3yr","PASS","Planned Performance Tier","1.28","1.28","0","0","PASS"
"ti-sobr-copy-3yr","PASS","Planned Capacity Tier","1.51","1.51","0","0","PASS"
"ti-sobr-copy-3yr","PASS","Planned Archive Tier","0.8","0.8","0","0","PASS"
"ti-sobr-copy-3yr","PASS","File Type Size - Full","0.58","0.58","0","0","PASS"
"ti-sobr-copy-3yr","PASS","File Type Size - Incremental","0.03","0.03","0","0.14","PASS"
"ti-sobr-copy-3yr","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.14","PASS"
"ti-sobr-gfs-archive-5yr","PASS","Planned Performance Tier","1.28","1.28","0","0","PASS"
"ti-sobr-gfs-archive-5yr","PASS","Planned Capacity Tier","2.4","2.4","0","0","PASS"
"ti-sobr-gfs-archive-5yr","PASS","Planned Archive Tier","2.13","2.13","0","0","PASS"
"ti-sobr-gfs-archive-5yr","PASS","File Type Size - Full","0.58","0.58","0","0","PASS"
"ti-sobr-gfs-archive-5yr","PASS","File Type Size - Incremental","0.03","0.03","0","0.14","PASS"
"ti-sobr-gfs-archive-5yr","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.14","PASS"
"ti-das-sla-minimum-5yr","PASS","Planned Capacity","3.24","3.24","0","0","PASS"
"ti-das-sla-minimum-5yr","PASS","File Type Size - Full","0.58","0.58","0","0","PASS"
"ti-das-sla-minimum-5yr","PASS","File Type Size - Incremental","0.03","0.03","0","0.14","PASS"
"ti-das-sla-minimum-5yr","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.14","PASS"
"ti-das-chain-rp-drift-3yr","PASS","Planned Capacity","3.24","3.24","0","0","PASS"
"ti-das-chain-rp-drift-3yr","PASS","File Type Size - Full","0.58","0.58","0","0","PASS"
"ti-das-chain-rp-drift-3yr","PASS","File Type Size - Incremental","0.03","0.03","0","0.14","PASS"
"ti-das-chain-rp-drift-3yr","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.14","PASS"
"ti-sobr-move-chain-rp-drift-3yr","PASS","Planned Performance Tier","1.21","1.21","0","0","PASS"
"ti-sobr-move-chain-rp-drift-3yr","PASS","Planned Capacity Tier","1.63","1.63","0","0","PASS"
"ti-sobr-move-chain-rp-drift-3yr","PASS","Planned Archive Tier","0.8","0.8","0","0","PASS"
"ti-sobr-move-chain-rp-drift-3yr","PASS","File Type Size - Full","0.58","0.58","0","0","PASS"
"ti-sobr-move-chain-rp-drift-3yr","PASS","File Type Size - Incremental","0.03","0.03","0","0.14","PASS"
"ti-sobr-move-chain-rp-drift-3yr","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.14","PASS"
"ti-das-high-retention-drift-3yr","PASS","Planned Capacity","3.85","3.85","0","0","PASS"
"ti-das-high-retention-drift-3yr","PASS","File Type Size - Full","0.58","0.58","0","0","PASS"
"ti-das-high-retention-drift-3yr","PASS","File Type Size - Incremental","0.03","0.03","0","0.14","PASS"
"ti-das-high-retention-drift-3yr","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.14","PASS"
"im-perf-immutability-blocks-prune","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"im-perf-immutability-blocks-prune","PASS","Planned Capacity Tier","0.65","0.65","0","0","PASS"
"im-perf-immutability-blocks-prune","PASS","Planned Archive Tier","0","0","0","0","PASS"
"im-perf-immutability-blocks-prune","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"im-perf-immutability-blocks-prune","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"im-perf-immutability-blocks-prune","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"im-cap-immutability-blocks-deletion","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"im-cap-immutability-blocks-deletion","PASS","Planned Capacity Tier","0.65","0.65","0","0","PASS"
"im-cap-immutability-blocks-deletion","PASS","Planned Archive Tier","0","0","0","0","PASS"
"im-cap-immutability-blocks-deletion","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"im-cap-immutability-blocks-deletion","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"im-cap-immutability-blocks-deletion","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"im-arch-immutability-blocks-deletion","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"im-arch-immutability-blocks-deletion","PASS","Planned Capacity Tier","1.18","1.18","0","0","PASS"
"im-arch-immutability-blocks-deletion","PASS","Planned Archive Tier","0","0","0","0","PASS"
"im-arch-immutability-blocks-deletion","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"im-arch-immutability-blocks-deletion","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"im-arch-immutability-blocks-deletion","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"im-gen-window-boundary","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"im-gen-window-boundary","PASS","Planned Capacity Tier","0.65","0.65","0","0","PASS"
"im-gen-window-boundary","PASS","Planned Archive Tier","0","0","0","0","PASS"
"im-gen-window-boundary","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"im-gen-window-boundary","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"im-gen-window-boundary","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"im-gen-deleteon-extended-by-gfs","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"im-gen-deleteon-extended-by-gfs","PASS","Planned Capacity Tier","1.05","1.05","0","0","PASS"
"im-gen-deleteon-extended-by-gfs","PASS","Planned Archive Tier","0","0","0","0","PASS"
"im-gen-deleteon-extended-by-gfs","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"im-gen-deleteon-extended-by-gfs","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"im-gen-deleteon-extended-by-gfs","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"im-gen-state-transitions","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"im-gen-state-transitions","PASS","Planned Capacity Tier","0.65","0.65","0","0","PASS"
"im-gen-state-transitions","PASS","Planned Archive Tier","0","0","0","0","PASS"
"im-gen-state-transitions","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"im-gen-state-transitions","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"im-gen-state-transitions","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"im-all-tiers-immutability","PASS","Planned Performance Tier","1.18","1.18","0","0","PASS"
"im-all-tiers-immutability","PASS","Planned Capacity Tier","1.18","1.18","0","0","PASS"
"im-all-tiers-immutability","PASS","Planned Archive Tier","0","0","0","0","PASS"
"im-all-tiers-immutability","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
